"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"212";"13/06/2024";"80"
"213";"10/06/2024";"270"
"214";"27/05/2024";"270"
"215";"22/05/2024";"110"
"216";"21/05/2024";"120"
"217";"20/05/2024";"150"
"218";"15/05/2024";"80"
"219";"07/05/2024";"140"
"220";"06/05/2024";"250"
"221";"25/04/2024";"160"
"222";"17/04/2024";"200"
"223";"15/04/2024";"180"
"224";"07/03/2024";"101"
"225";"04/04/2024";"60"
"226";"13/03/2024";"180"
"227";"05/03/2024";"100"
"228";"26/02/2024";"180"
"229";"09/01/2024";"140"
"230";"08/05/2023";"130"
"231";"04/05/2023";"120"
"232";"12/04/2023";"80"
"233";"11/04/2023";"100"
"234";"08/03/2023";"80"
"235";"16/02/2023";"120"
"236";"08/02/2023";"140"
"237";"06/02/2023";"80"
"238";"25/01/2023";"50"
"239";"02/02/2024";"270"
"240";"16/05/2023";"30"
"241";"13/04/2023";"100"
"242";"31/03/2023";"180"
"243";"05/12/2025";"280"
"244";"23/11/2025";"60"
"245";"17/11/2025";"120"
"246";"10/11/2025";"140"
"247";"30/10/2025";"140"
"248";"16/10/2025";"90"
"249";"18/09/2025";"210"
"250";"16/09/2025";"90"
"251";"08/09/2025";"160"
"252";"31/10/2025";"260"
"253";"18/08/2025";"200"
"254";"08/08/2025";"384"
"255";"25/07/2025";"200"
"256";"10/07/2025";"180"
"257";"25/06/2025";"170"
"258";"17/06/2025";"120"
"259";"01/08/2025";"240"
"260";"24/02/2025";"320"
"261";"23/01/2025";"120"
"262";"10/12/2024";"200"
"263";"27/11/2024";"160"
"264";"06/11/2024";"140"
"265";"07/10/2024";"210"
"266";"05/09/2024";"80"
"267";"12/07/2024";"180"
"268";"12/11/2024";"150"
"269";"20/06/2024";"120"
"270";"12/06/2024";"120"
"271";"04/06/2024";"140"
"272";"25/05/2024";"30"
"273";"02/05/2024";"150"
"274";"26/04/2024";"180"
"275";"27/03/2024";"160"
"276";"25/03/2024";"220"
"277";"20/03/2024";"60"
"278";"18/03/2024";"178"
"279";"17/05/2024";"200"
"280";"15/03/2024";"190"
"281";"16/02/2024";"240"
"282";"30/01/2024";"90"
"283";"10/01/2024";"80"
"284";"15/05/2023";"120"
"285";"30/03/2023";"120"
"286";"23/02/2023";"90"
"287";"07/02/2023";"120"
"288";"19/01/2023";"150"
"289";"13/01/2023";"120"
"290";"12/01/2023";"80"
"291";"24/04/2023";"210"
"292";"30/01/2023";"20"
"293";"04/01/2023";"40"
"294";"27/11/2025";"240"
"295";"11/11/2025";"100"
"296";"07/11/2025";"280"
"297";"26/09/2025";"200"
"298";"01/09/2025";"80"
"299";"24/10/2025";"180"
"300";"19/08/2025";"120"
"301";"14/08/2025";"60"
"302";"12/08/2025";"192"
"303";"31/07/2025";"60"
"304";"22/07/2025";"150"
"305";"14/07/2025";"120"
"306";"28/05/2025";"100"
"307";"22/04/2025";"424"
"308";"03/04/2025";"120"
"309";"25/03/2025";"180"
"310";"20/03/2025";"146"
"311";"22/01/2025";"140"
"312";"17/01/2025";"120"
"313";"07/01/2025";"180"
"314";"17/12/2024";"140"
"315";"06/12/2024";"150"
"316";"26/11/2024";"160"
"317";"22/11/2024";"220"
"318";"21/02/2025";"160"
"319";"29/01/2025";"180"
"320";"30/12/2024";"220"
"321";"18/12/2024";"160"
"322";"21/11/2024";"200"
"323";"11/11/2024";"260"
"324";"08/11/2024";"140"
"325";"31/10/2024";"90"
"326";"09/10/2024";"110"
"327";"19/09/2024";"110"
"328";"13/09/2024";"180"
"329";"11/09/2024";"120"
"330";"10/09/2024";"150"
"331";"30/08/2024";"120"
"332";"23/08/2024";"102"
"333";"13/08/2024";"96"
"334";"09/08/2024";"160"
"335";"01/08/2024";"80"
"336";"15/07/2024";"100"
"337";"20/09/2024";"100"
"338";"02/09/2024";"160"
"339";"02/07/2024";"120"
"340";"01/07/2024";"80"
"341";"28/06/2024";"140"
"342";"25/06/2024";"150"
"343";"29/05/2024";"140"
"344";"24/05/2024";"150"
"345";"18/04/2024";"140"
"346";"05/04/2024";"210"
"347";"01/04/2024";"160"
"348";"14/03/2024";"120"
"349";"06/03/2024";"100"
"350";"05/07/2024";"140"
"351";"09/05/2024";"80"
"352";"24/04/2024";"180"
"353";"21/03/2024";"160"
"354";"23/02/2024";"180"
"355";"14/02/2024";"80"
"356";"24/01/2024";"150"
"357";"18/01/2024";"90"
"358";"18/04/2023";"80"
"359";"14/04/2023";"120"
"360";"05/04/2023";"140"
"361";"03/04/2023";"160"
"362";"29/03/2023";"100"
"363";"13/03/2023";"140"
"364";"09/03/2023";"80"
"365";"02/03/2023";"120"
"366";"28/02/2023";"60"
"367";"15/02/2023";"120"
"368";"13/02/2023";"200"
"369";"10/02/2023";"120"
"370";"09/02/2023";"40"
"371";"11/01/2023";"100"
"372";"22/01/2024";"90"
"373";"15/09/2023";"20"
"374";"11/05/2023";"120"
"375";"05/05/2023";"150"
"376";"26/04/2023";"150"
"377";"19/04/2023";"120"
"378";"26/01/2023";"90"
"379";"08/12/2025";"200"
"380";"26/11/2025";"100"
"381";"05/11/2025";"200"
"382";"23/10/2025";"20"
"383";"22/10/2025";"150"
"384";"15/10/2025";"210"
"385";"08/10/2025";"240"
"386";"30/09/2025";"140"
"387";"12/09/2025";"480"
"388";"29/08/2025";"310"
"389";"14/11/2025";"300"
"390";"15/09/2025";"60"
"391";"01/07/2025";"180"
"392";"06/05/2025";"60"
"393";"20/08/2025";"100"
"394";"25/04/2025";"240"
"395";"15/04/2025";"150"
"396";"14/04/2025";"300"
"397";"31/03/2025";"160"
"398";"28/03/2025";"140"
"399";"26/03/2025";"100"
"400";"13/03/2025";"200"
"401";"11/03/2025";"40"
"402";"26/02/2025";"120"
"403";"20/02/2025";"140"
"404";"28/01/2025";"100"
"405";"09/01/2025";"100"
"406";"03/01/2025";"120"
"407";"24/01/2025";"160"
"408";"23/12/2024";"272"
"409";"14/11/2024";"240"
"410";"04/11/2024";"170"
"411";"01/11/2024";"120"
"412";"30/10/2024";"150"
"413";"22/10/2024";"120"
"414";"08/10/2024";"120"
"415";"03/10/2024";"60"
"416";"01/10/2024";"100"
"417";"21/08/2024";"80"
"418";"20/08/2024";"110"
"419";"22/07/2024";"190"
"420";"19/07/2024";"210"
"421";"29/07/2024";"60"
"422";"21/06/2024";"120"
"423";"06/06/2024";"60"
"424";"31/05/2024";"140"
"425";"23/05/2024";"100"
"426";"08/05/2024";"100"
"427";"29/04/2024";"260"
"428";"31/03/2024";"40"
"429";"01/03/2024";"230"
"430";"29/02/2024";"140"
"431";"03/06/2024";"80"
"432";"03/05/2024";"200"
"433";"28/02/2024";"87"
"434";"08/02/2024";"60"
"435";"06/02/2024";"180"
"436";"05/02/2024";"210"
"437";"11/01/2024";"100"
"438";"15/03/2023";"80"
"439";"02/02/2023";"120"
"440";"01/02/2023";"20"
"441";"19/01/2024";"210"
"442";"20/04/2023";"120"
"443";"27/03/2023";"120"
"444";"14/02/2023";"120"
"445";"05/01/2023";"40"
"446";"03/12/2025";"320"
"447";"28/11/2025";"220"
"448";"04/11/2025";"180"
"449";"28/10/2025";"180"
"450";"29/09/2025";"200"
"451";"25/09/2025";"90"
"452";"19/09/2025";"330"
"453";"03/09/2025";"20"
"454";"25/08/2025";"160"
"455";"13/08/2025";"174"
"456";"21/07/2025";"90"
"457";"18/07/2025";"210"
"458";"09/07/2025";"150"
"459";"02/07/2025";"30"
"460";"10/06/2025";"150"
"461";"27/05/2025";"120"
"462";"16/05/2025";"180"
"463";"17/07/2025";"90"
"464";"29/04/2025";"120"
"465";"01/04/2025";"140"
"466";"14/03/2025";"200"
"467";"05/02/2025";"120"
"468";"30/01/2025";"100"
"469";"14/01/2025";"100"
"470";"13/01/2025";"160"
"471";"21/03/2025";"200"
"472";"10/03/2025";"300"
"473";"18/11/2024";"210"
"474";"29/10/2024";"200"
"475";"28/10/2024";"290"
"476";"16/10/2024";"155"
"477";"27/09/2024";"60"
"478";"06/09/2024";"160"
"479";"04/09/2024";"40"
"480";"26/07/2024";"100"
"481";"16/07/2024";"50"
"482";"21/10/2024";"220"
"483";"05/08/2024";"190"
"484";"02/08/2024";"130"
"485";"11/07/2024";"100"
"486";"26/06/2024";"120"
"487";"24/06/2024";"180"
"488";"14/06/2024";"150"
"489";"11/04/2024";"150"
"490";"08/04/2024";"180"
"491";"24/03/2024";"20"
"492";"17/03/2024";"20"
"493";"22/02/2024";"150"
"494";"17/06/2024";"150"
"495";"12/04/2024";"210"
"496";"28/03/2024";"220"
"497";"04/03/2024";"240"
"498";"25/01/2024";"180"
"499";"23/01/2024";"80"
"500";"20/01/2024";"20"
"501";"10/04/2023";"80"
"502";"15/02/2024";"160"
"503";"16/01/2024";"180"
"504";"12/05/2023";"90"
"505";"27/04/2023";"180"
"506";"16/01/2023";"120"
"507";"03/01/2023";"20"
"508";"02/01/2023";"40"
"509";"18/11/2025";"130"
"510";"13/11/2025";"136"
"511";"06/10/2025";"300"
"512";"03/10/2025";"180"
"513";"22/09/2025";"210"
"514";"17/09/2025";"180"
"515";"04/09/2025";"160"
"516";"02/09/2025";"140"
"517";"28/08/2025";"240"
"518";"27/08/2025";"80"
"519";"21/08/2025";"180"
"520";"15/08/2025";"270"
"521";"11/08/2025";"168"
"522";"28/07/2025";"80"
"523";"04/07/2025";"330"
"524";"03/07/2025";"150"
"525";"26/06/2025";"120"
"526";"16/06/2025";"60"
"527";"11/06/2025";"150"
"528";"05/06/2025";"180"
"529";"03/06/2025";"120"
"530";"23/05/2025";"300"
"531";"09/05/2025";"190"
"532";"16/04/2025";"130"
"533";"10/04/2025";"160"
"534";"17/03/2025";"320"
"535";"07/03/2025";"120"
"536";"06/03/2025";"100"
"537";"28/02/2025";"280"
"538";"14/02/2025";"140"
"539";"06/02/2025";"160"
"540";"04/02/2025";"120"
"541";"03/02/2025";"220"
"542";"27/12/2024";"100"
"543";"17/02/2025";"300"
"544";"10/02/2025";"140"
"545";"31/01/2025";"120"
"546";"19/11/2024";"180"
"547";"24/10/2024";"120"
"548";"10/10/2024";"150"
"549";"09/09/2024";"280"
"550";"29/08/2024";"48"
"551";"08/08/2024";"110"
"552";"15/08/2024";"96"
"553";"23/07/2024";"70"
"554";"08/07/2024";"180"
"555";"05/06/2024";"120"
"556";"22/04/2024";"220"
"557";"09/04/2024";"120"
"558";"02/04/2024";"100"
"559";"22/03/2024";"240"
"560";"19/02/2024";"210"
"561";"31/01/2024";"150"
"562";"12/01/2024";"240"
"563";"14/03/2023";"120"
"564";"12/03/2023";"40"
"565";"06/03/2023";"120"
"566";"01/03/2023";"80"
"567";"17/02/2023";"240"
"568";"31/01/2023";"60"
"569";"24/01/2023";"100"
"570";"23/01/2023";"120"
"571";"29/01/2024";"120"
"572";"28/01/2024";"60"
"573";"20/03/2023";"110"
"574";"18/01/2023";"100"
"575";"09/01/2023";"60"
