"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"212";"29/05/2024";"60"
"213";"05/08/2024";"180"
"214";"27/08/2024";"60"
"215";"24/09/2024";"120"
"216";"03/10/2024";"60"
"217";"08/10/2024";"120"
"218";"22/10/2024";"120"
"219";"02/12/2024";"90"
"220";"19/12/2024";"60"
"221";"23/12/2024";"60"
"222";"06/01/2025";"30"
"223";"13/02/2025";"30"
"224";"19/03/2025";"30"
"225";"21/05/2025";"120"
"226";"27/05/2025";"120"
"227";"01/07/2025";"360"
"228";"03/08/2025";"120"
"229";"20/09/2025";"60"
"230";"21/09/2025";"60"
