"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"212";"20/06/2024";"48"
"213";"11/06/2024";"36"
"214";"04/06/2024";"48"
"215";"21/05/2024";"60"
"216";"15/04/2024";"24"
"217";"12/04/2024";"24"
"218";"11/03/2024";"48"
"219";"06/03/2024";"60"
"220";"26/02/2024";"12"
"221";"09/02/2024";"36"
"222";"18/01/2024";"24"
"223";"12/01/2024";"60"
"224";"19/12/2023";"36"
"225";"04/12/2023";"36"
"226";"17/11/2023";"48"
"227";"31/10/2023";"48"
"228";"20/10/2023";"24"
"229";"17/10/2023";"24"
"230";"16/10/2023";"60"
"231";"21/09/2023";"60"
"232";"22/08/2023";"36"
"233";"16/08/2023";"48"
"234";"31/07/2023";"60"
"235";"17/07/2023";"60"
"236";"15/07/2023";"48"
"237";"02/06/2023";"24"
"238";"01/06/2023";"24"
"239";"19/05/2023";"60"
"240";"02/05/2023";"48"
"241";"27/04/2023";"48"
"242";"26/04/2023";"48"
"243";"23/03/2023";"24"
"244";"15/03/2023";"36"
"245";"03/12/2025";"36"
"246";"25/11/2025";"36"
"247";"11/11/2025";"36"
"248";"26/09/2025";"36"
"249";"19/09/2025";"60"
"250";"26/08/2025";"36"
"251";"14/07/2025";"12"
"252";"08/07/2025";"36"
"253";"03/07/2025";"12"
"254";"17/06/2025";"36"
"255";"09/06/2025";"24"
"256";"02/06/2025";"12"
"257";"09/05/2025";"36"
"258";"30/04/2025";"12"
"259";"25/04/2025";"12"
"260";"11/04/2025";"36"
"261";"25/03/2025";"36"
"262";"21/03/2025";"48"
"263";"13/03/2025";"24"
"264";"10/03/2025";"36"
"265";"07/03/2025";"24"
"266";"28/02/2025";"48"
"267";"17/02/2025";"84"
"268";"03/02/2025";"48"
"269";"31/01/2025";"24"
"270";"29/01/2025";"48"
"271";"28/01/2025";"36"
"272";"22/01/2025";"24"
"273";"26/12/2024";"24"
"274";"20/12/2024";"36"
"275";"18/12/2024";"24"
"276";"17/12/2024";"24"
"277";"13/12/2024";"24"
"278";"06/12/2024";"84"
"279";"18/11/2024";"24"
"280";"30/08/2024";"24"
"281";"23/08/2024";"36"
"282";"13/08/2024";"84"
"283";"08/08/2024";"24"
"284";"06/08/2024";"24"
"285";"31/07/2024";"24"
"286";"23/07/2024";"72"
"287";"01/07/2024";"60"
"288";"17/06/2024";"12"
"289";"13/06/2024";"36"
"290";"07/06/2024";"24"
"291";"06/06/2024";"48"
"292";"20/05/2024";"12"
"293";"29/04/2024";"48"
"294";"01/04/2024";"36"
"295";"27/02/2024";"36"
"296";"08/02/2024";"24"
"297";"25/01/2024";"60"
"298";"07/12/2023";"36"
"299";"30/11/2023";"24"
"300";"29/11/2023";"24"
"301";"22/11/2023";"84"
"302";"21/11/2023";"60"
"303";"29/09/2023";"24"
"304";"05/09/2023";"48"
"305";"29/08/2023";"12"
"306";"28/07/2023";"84"
"307";"25/07/2023";"84"
"308";"20/07/2023";"24"
"309";"18/07/2023";"36"
"310";"11/07/2023";"24"
"311";"31/05/2023";"60"
"312";"22/05/2023";"36"
"313";"05/05/2023";"24"
"314";"29/03/2023";"36"
"315";"16/03/2023";"24"
"316";"02/03/2023";"24"
"317";"11/01/2023";"24"
"318";"04/01/2023";"24"
"319";"03/01/2023";"24"
"320";"09/12/2025";"60"
"321";"12/11/2025";"24"
"322";"31/10/2025";"60"
"323";"17/10/2025";"36"
"324";"18/09/2025";"12"
"325";"15/09/2025";"36"
"326";"21/08/2025";"36"
"327";"04/08/2025";"36"
"328";"07/07/2025";"48"
"329";"24/06/2025";"48"
"330";"18/06/2025";"60"
"331";"06/06/2025";"24"
"332";"26/05/2025";"48"
"333";"16/05/2025";"24"
"334";"05/05/2025";"48"
"335";"22/04/2025";"48"
"336";"17/04/2025";"36"
"337";"16/04/2025";"24"
"338";"04/04/2025";"12"
"339";"24/03/2025";"72"
"340";"19/03/2025";"24"
"341";"17/03/2025";"60"
"342";"20/01/2025";"60"
"343";"10/12/2024";"36"
"344";"28/11/2024";"36"
"345";"12/11/2024";"24"
"346";"06/11/2024";"12"
"347";"10/10/2024";"24"
"348";"30/09/2024";"48"
"349";"24/09/2024";"36"
"350";"23/09/2024";"72"
"351";"18/09/2024";"12"
"352";"17/09/2024";"60"
"353";"02/09/2024";"60"
"354";"20/08/2024";"96"
"355";"22/07/2024";"48"
"356";"19/07/2024";"36"
"357";"02/07/2024";"36"
"358";"30/06/2024";"24"
"359";"24/06/2024";"36"
"360";"21/06/2024";"36"
"361";"18/06/2024";"36"
"362";"24/05/2024";"24"
"363";"13/05/2024";"48"
"364";"08/05/2024";"24"
"365";"22/04/2024";"36"
"366";"16/04/2024";"48"
"367";"11/04/2024";"36"
"368";"22/03/2024";"36"
"369";"15/03/2024";"24"
"370";"03/03/2024";"60"
"371";"23/02/2024";"24"
"372";"05/01/2024";"24"
"373";"02/01/2024";"36"
"374";"29/12/2023";"60"
"375";"06/11/2023";"60"
"376";"09/10/2023";"36"
"377";"28/09/2023";"24"
"378";"22/09/2023";"36"
"379";"18/09/2023";"84"
"380";"15/08/2023";"24"
"381";"09/08/2023";"48"
"382";"13/07/2023";"60"
"383";"10/07/2023";"60"
"384";"26/06/2023";"72"
"385";"23/06/2023";"48"
"386";"09/06/2023";"36"
"387";"20/04/2023";"72"
"388";"17/04/2023";"24"
"389";"31/03/2023";"36"
"390";"28/03/2023";"48"
"391";"13/03/2023";"48"
"392";"10/03/2023";"24"
"393";"16/02/2023";"36"
"394";"12/01/2023";"24"
"395";"10/01/2023";"36"
"396";"02/01/2023";"24"
"397";"02/12/2025";"36"
"398";"19/11/2025";"108"
"399";"17/11/2025";"36"
"400";"06/11/2025";"36"
"401";"30/10/2025";"36"
"402";"22/09/2025";"36"
"403";"20/08/2025";"24"
"404";"11/08/2025";"24"
"405";"30/07/2025";"12"
"406";"24/07/2025";"24"
"407";"17/07/2025";"12"
"408";"02/07/2025";"12"
"409";"01/07/2025";"36"
"410";"23/06/2025";"48"
"411";"04/06/2025";"12"
"412";"24/04/2025";"24"
"413";"07/04/2025";"48"
"414";"20/02/2025";"12"
"415";"02/02/2025";"24"
"416";"30/01/2025";"12"
"417";"23/01/2025";"36"
"418";"21/01/2025";"24"
"419";"13/01/2025";"36"
"420";"10/01/2025";"24"
"421";"16/12/2024";"36"
"422";"26/11/2024";"12"
"423";"01/11/2024";"24"
"424";"23/10/2024";"12"
"425";"16/10/2024";"96"
"426";"08/10/2024";"24"
"427";"04/10/2024";"24"
"428";"27/09/2024";"24"
"429";"25/09/2024";"12"
"430";"20/09/2024";"24"
"431";"13/09/2024";"24"
"432";"29/08/2024";"24"
"433";"12/08/2024";"60"
"434";"05/08/2024";"24"
"435";"30/07/2024";"60"
"436";"26/07/2024";"48"
"437";"18/07/2024";"24"
"438";"16/07/2024";"36"
"439";"09/07/2024";"48"
"440";"05/07/2024";"36"
"441";"14/06/2024";"36"
"442";"23/05/2024";"24"
"443";"06/05/2024";"72"
"444";"21/03/2024";"72"
"445";"18/03/2024";"24"
"446";"29/01/2024";"36"
"447";"23/01/2024";"36"
"448";"10/01/2024";"36"
"449";"27/12/2023";"72"
"450";"21/12/2023";"24"
"451";"11/12/2023";"12"
"452";"06/12/2023";"36"
"453";"30/10/2023";"36"
"454";"27/10/2023";"60"
